ID,Emotion,Text
399172782,angry,"Ел жаңалықтарына келсек, Өскемен, Алматы, Қарағанды, еліміздегі экологиясы ең нашар он қаланың көшін бастап тұрып."
399172782,angry,Олар үйіржұлдыздың тығыздығы жоғары өзек өңірінде жұлдыздардың қосылуынан қалыптасады.
399172782,angry,"Оқуымды жақсы бағамен бітіріп, өзімнің туып өскен ауылыма келдім."
399172782,angry,"Егер карта бетіне қарап, геофизикалық өлшеммен алар болсақ, Астана батыс пен шығыс өлшемінің кіндік қаласы."
399172782,angry,Жылдық орташа табыстарыңыз қанша?
399172782,angry,"Ал, баобабты салғанда, бұл суреттің кешіктіруге болмайтын маңызды хабар жеткізетіндігі маған үлкен шабыт берді."
399172782,angry,"Баланың көңілін жықпай, Шолақтың артына міңгестіріп ала кетті."
399172782,angry,"Сөйтті де кемпір түк көрмеген адамға ұқсап, келіп жатып қалады."
399172782,angry,Жүре пайда болған кемістік әр түрлі жағдайларға байланысты болады.
399172782,angry,"Әлдекімнің бастан құлақ садақа деп, күресінге лақтырып тастаған салабасы емес пе?"
399172782,angry,Өзгенің тағдырын бір сәтте өзгерте салу мүмкін бе?
399172782,angry,"Елорда әкімдігінің ресми сайтына сәйкес, тұрғындарға 27 сәуірден бастап аулаға шығуға рұқсат етілді."
399172782,angry,Осы айдармен жастардың бірнеше пікірталасын өткізді.
399172782,angry,Әр сәрсенбіде көркем жазумен шұғылданамыз.
399172782,angry,Бұл пікірлердің барлығы әзірге толығымен дәлелденбеген.
399172782,angry,"Спесікті тартып аламыз деп жігіттер ел жинап, жылқыға шауып жүргенде, болыстар жүріп кете берген."
399172782,angry,Небәрі екі күн болса да мен оларға бауыр басып қалыппын.
399172782,angry,"Мұның күземді ерте алғаны да осы көші–қон есебі болды!– деп дағдарып қап, Бөжейге қарап: – Әлде сен білдің бе?"
399172782,angry,"Дегенмен есте болсын, ""инстаграм"" желісі арқылы лайк жинау үшін рухани құндылығыңыздан айырылып қалуыңыз да мүмкін."
399172782,angry,"Бүгінде олардың саны 6–ға жетеді, тағы 2–еуі қосылып, сонымен қатар талдау жинақтауға арналған 10 мобильді топ жоспарланған."
399172782,angry,Қазақстанға келген Лукашенко Тоқаевты Беларусь еліне шақырған еді.
399172782,angry,«Финалдық сайыстарды тамашалауға келген жанкүйерлерді үлкен сый күтіп отыр.
399172782,angry,"Данияр еш саспастан терезені шағып, өртеніп жатқан бөлменің ішіне түседі, сөйтіп балаларды кезек–кезек көтеріп алып шықты."
399172782,angry,"Ақын Мұқағалидың мәңгілік музасының қазақ әдебиеті атты ұлы айдынға қосқан сарқылмас, тартылмас мөлдір бастауы бұл."
399172782,angry,"""Тауарларды жедел жүктеуге мүмкіндік беретін заманға сай жүк түсіру және температуралық қоймалардың жеткіліксіздігі бағаға тікелей әсерін тигізеді."
399172782,angry,Ғажайып әсерге бөлер сұлулық саясы – көгілдір Көкшенің тамаша табиғаты өз бояуын әсте жоғалтпақ емес.
399172782,angry,"Оның «А» типті айтатын болсақ — тоқсан бес жағдай, «Б» типті — жүз бір жағдай тіркелді."
399172782,angry,"Әлбетте, көптеген спорт басылымдары мұндай бәйгені өздеріне оқырман жинау үшін жүргізеді."
399172782,angry,Астанада Қазақстан Республикасының ұлттық мұражайы бар.
399172782,angry,"Сонымен қатар, Корея республикасының әскерилерінде мұндай жағдайларға қатысты арнайы нұсқаулық бар."
399172782,angry,"Халқымыз Ислам дінін қабылдаған соң руникалық жазулар біртіндеп ысырылып, араб тілі мен араб әліпбиі тарала бастады."
399172782,angry,"Кенет Хадиша тоқтай қалды да, енді бұдан әрі айтатын ештеңе жоқ, бәрі шешілді дегендей, сергек батыл үнмен:– Жарайды, мен кеттім, – деді."
399172782,angry,"Ол: «Мені жейтін қасқыр осы болар?» – деп, жүрегі алып ұшып, кербестінің сауырына қамшыны сипай береді."
399172782,angry,"Өтіп бара жатқан ""керуенге"" қарап, даурығудың қажеті жоқ."
399172782,angry,"Мағашты аязды күнде далада бөгеп, тағы да суыққа ұрындырып алмау керек."
399172782,angry,"Медициналық тұрғыдан бұл процедура қанша қымбат болғанымен, науқасты жасанды аппараттан."
399172782,angry,Қайғы мен қаңғырудың азабы батса да өлмеген соң өмірлері өксіп өлдім–талдым дегенде көкейін кескен Бұлдыр тауға жетіпті.
399172782,angry,"– Қояныңды бекер–ақ бердің–ау, өледі–ау, сорлы, – деді Биғайша маған қарамай, соның соңынан көз алмай."
399172782,angry,"Арманым алысқа жетелеп, уақыт өте Алланың қалауымен өзім де жаңалықтар жүргізушісі болдым."
399172782,angry,"Әлде Ферғана басмашылары басып кірді ме?»Ташкентке түнде тұңғыш рет жалаңқат жұқалаң қар жауып, арты қалың тұманға айналған."
